,Unnamed: 0,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
50607,50732,Shot Chart Detail,21500877,503,201581,JJ Hickson,1610612764,Washington Wizards,4,4,23,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-29,85,1,1,20160228,WAS,CLE,50732
50608,50733,Shot Chart Detail,21500885,158,201581,JJ Hickson,1610612764,Washington Wizards,1,0,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,37,-132,350,1,0,20160229,WAS,PHI,50733
50609,50734,Shot Chart Detail,21500917,483,201581,JJ Hickson,1610612764,Washington Wizards,4,2,21,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,25,46,1,1,20160304,CLE,WAS,50734
50610,50735,Shot Chart Detail,21500917,499,201581,JJ Hickson,1610612764,Washington Wizards,4,1,10,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,-1,1,1,20160304,CLE,WAS,50735
50611,50736,Shot Chart Detail,21500969,375,201581,JJ Hickson,1610612764,Washington Wizards,3,0,25,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,8,1,0,20160311,UTA,WAS,50736
50612,50737,Shot Chart Detail,21500980,196,201581,JJ Hickson,1610612764,Washington Wizards,2,5,34,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-9,56,1,0,20160312,DEN,WAS,50737
50613,50738,Shot Chart Detail,21500980,215,201581,JJ Hickson,1610612764,Washington Wizards,2,3,51,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,42,28,1,1,20160312,DEN,WAS,50738
50614,50739,Shot Chart Detail,21500980,275,201581,JJ Hickson,1610612764,Washington Wizards,2,0,1,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-14,21,1,0,20160312,DEN,WAS,50739
50615,50740,Shot Chart Detail,21500980,417,201581,JJ Hickson,1610612764,Washington Wizards,3,1,11,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-4,101,1,1,20160312,DEN,WAS,50740
50616,50741,Shot Chart Detail,21500980,423,201581,JJ Hickson,1610612764,Washington Wizards,3,0,45,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,2,1,1,20160312,DEN,WAS,50741
